127.0.0.1 - - [22/May/2020:08:49:52 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [22/May/2020:08:53:41 +0900] "GET /myweb/bookstore/home.jsp HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [22/May/2020:08:53:41 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [22/May/2020:08:53:50 +0900] "GET /bookstore/home.jsp HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [22/May/2020:08:53:50 +0900] "GET /bookstore/css/bookstore.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2020:08:53:52 +0900] "GET /bookstore/book/detail.jsp?bookno=100020 HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [22/May/2020:09:01:20 +0900] "GET /bookstore/book/detail.jsp?bookno=100020 HTTP/1.1" 500 3777
0:0:0:0:0:0:0:1 - - [22/May/2020:09:04:28 +0900] "GET /bookstore/book/detail.jsp?bookno=100020 HTTP/1.1" 500 3533
0:0:0:0:0:0:0:1 - - [22/May/2020:09:05:38 +0900] "GET /bookstore/book/detail.jsp?bookno=100020 HTTP/1.1" 500 3533
0:0:0:0:0:0:0:1 - - [22/May/2020:09:05:40 +0900] "GET /bookstore/book/detail.jsp?bookno=100020 HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [22/May/2020:09:05:40 +0900] "GET /bookstore/book/detail.jsp?bookno=100020 HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [22/May/2020:09:07:54 +0900] "GET /bookstore/book/detail.jsp?bookno=100020 HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [22/May/2020:09:07:55 +0900] "GET /bookstore/book/detail.jsp?bookno=100020 HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [22/May/2020:09:07:56 +0900] "GET /bookstore/book/detail.jsp?bookno=100020 HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [22/May/2020:09:07:56 +0900] "GET /bookstore/book/detail.jsp?bookno=100020 HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [22/May/2020:09:08:44 +0900] "GET /bookstore/book/detail.jsp?bookno=100011 HTTP/1.1" 200 2413
0:0:0:0:0:0:0:1 - - [22/May/2020:09:08:47 +0900] "GET /bookstore/book/detail.jsp?bookno=100010 HTTP/1.1" 200 2403
0:0:0:0:0:0:0:1 - - [22/May/2020:09:11:48 +0900] "GET /bookstore/book/detail.jsp?bookno=100008 HTTP/1.1" 200 2394
