127.0.0.1 - - [28/May/2020:11:08:36 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [28/May/2020:11:24:54 +0900] "GET /myweb/attr/home.jsp HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [28/May/2020:11:24:54 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [28/May/2020:11:25:45 +0900] "POST /myweb/attr/page1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2020:11:25:45 +0900] "GET /myweb/attr/page2.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [28/May/2020:11:37:08 +0900] "GET /myweb/attr/home.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [28/May/2020:11:37:08 +0900] "GET /myweb/attr/home.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [28/May/2020:11:37:08 +0900] "GET /myweb/attr/home.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [28/May/2020:11:37:09 +0900] "GET /myweb/attr/home.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [28/May/2020:11:37:15 +0900] "GET /myweb/attr/home.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [28/May/2020:11:37:15 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [28/May/2020:11:38:07 +0900] "POST /myweb/attr/page1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2020:11:38:07 +0900] "GET /myweb/attr/page2.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [28/May/2020:11:50:06 +0900] "GET /myweb/attr/home.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [28/May/2020:11:50:06 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [28/May/2020:14:36:29 +0900] "GET /bookstore/home.jsp HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [28/May/2020:14:36:29 +0900] "GET /bookstore/css/bookstore.css HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [28/May/2020:14:36:29 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [28/May/2020:14:38:34 +0900] "GET /bookstore/home.jsp HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [28/May/2020:14:38:35 +0900] "GET /bookstore/home.jsp HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [28/May/2020:15:03:18 +0900] "GET /bookstore/home.jsp HTTP/1.1" 200 3210
0:0:0:0:0:0:0:1 - - [28/May/2020:15:03:20 +0900] "GET /bookstore/user/loginform.jsp HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/May/2020:15:25:36 +0900] "GET /bookstore/user/loginform.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [28/May/2020:15:25:37 +0900] "GET /bookstore/user/loginform.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [28/May/2020:15:25:37 +0900] "GET /bookstore/user/loginform.jsp HTTP/1.1" 200 1588
