127.0.0.1 - - [26/May/2020:08:59:22 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/May/2020:09:14:00 +0900] "GET /bookstore/home.jsp HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [26/May/2020:09:14:00 +0900] "GET /bookstore/css/bookstore.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2020:09:14:00 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/May/2020:09:14:01 +0900] "GET /bookstore/board/list.jsp HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [26/May/2020:09:14:03 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [26/May/2020:09:21:57 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [26/May/2020:09:24:32 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3509
0:0:0:0:0:0:0:1 - - [26/May/2020:09:25:56 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/May/2020:09:25:57 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/May/2020:09:25:57 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/May/2020:09:25:57 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/May/2020:09:25:57 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/May/2020:09:25:58 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/May/2020:09:26:05 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/May/2020:09:26:05 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/May/2020:09:26:06 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/May/2020:09:26:06 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/May/2020:09:26:06 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/May/2020:09:26:06 +0900] "GET /bookstore/order/all.jsp HTTP/1.1" 200 3544
