127.0.0.1 - - [25/May/2020:09:18:15 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [25/May/2020:10:27:14 +0900] "GET /bookstore/home.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [25/May/2020:10:27:14 +0900] "GET /bookstore/css/bookstore.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2020:10:27:14 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [25/May/2020:10:27:18 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [25/May/2020:10:27:18 +0900] "GET /bookstore/user/list.jsp HTTP/1.1" 200 2472
0:0:0:0:0:0:0:1 - - [25/May/2020:10:28:00 +0900] "GET /bookstore/order/form.jsp HTTP/1.1" 500 2567
0:0:0:0:0:0:0:1 - - [25/May/2020:10:28:04 +0900] "GET /bookstore/order/form.jsp HTTP/1.1" 500 2567
0:0:0:0:0:0:0:1 - - [25/May/2020:10:29:03 +0900] "GET /bookstore/order/form.jsp HTTP/1.1" 500 2567
0:0:0:0:0:0:0:1 - - [25/May/2020:10:30:11 +0900] "GET /bookstore/order/form.jsp HTTP/1.1" 500 2567
0:0:0:0:0:0:0:1 - - [25/May/2020:10:30:44 +0900] "GET /bookstore/order/form.jsp HTTP/1.1" 500 2567
0:0:0:0:0:0:0:1 - - [25/May/2020:10:30:46 +0900] "GET /bookstore/user/list.jsp HTTP/1.1" 200 2472
0:0:0:0:0:0:0:1 - - [25/May/2020:10:30:48 +0900] "GET /bookstore/order/list.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [25/May/2020:10:30:57 +0900] "GET /bookstore/order/list.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [25/May/2020:10:34:30 +0900] "GET /bookstore/user/list.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [25/May/2020:10:34:31 +0900] "GET /bookstore/order/list.jsp?userid=suyoung HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [25/May/2020:10:34:34 +0900] "GET /bookstore/order/list.jsp?userid=ryu HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [25/May/2020:10:34:37 +0900] "GET /bookstore/order/list.jsp?userid=minseob HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [25/May/2020:10:37:29 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [25/May/2020:10:37:31 +0900] "GET /bookstore/home.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [25/May/2020:10:37:33 +0900] "GET /bookstore/user/list.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [25/May/2020:10:39:01 +0900] "GET /bookstore/order/list.jsp HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [25/May/2020:10:39:05 +0900] "GET /bookstore/user/list.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [25/May/2020:10:39:06 +0900] "GET /bookstore/order/list.jsp HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [25/May/2020:10:39:06 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [25/May/2020:10:39:08 +0900] "GET /bookstore/book/detail.jsp?bookno=100042 HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [25/May/2020:10:39:09 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [25/May/2020:10:39:11 +0900] "GET /bookstore/user/list.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [25/May/2020:10:39:12 +0900] "GET /bookstore/book/list.jsp HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [25/May/2020:10:39:13 +0900] "GET /bookstore/order/form.jsp?bookno=100042&amount=1 HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [25/May/2020:10:39:19 +0900] "GET /bookstore/user/list.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [25/May/2020:10:39:20 +0900] "GET /bookstore/order/list.jsp?userid=suyoung HTTP/1.1" 200 902
